name,rating,reviews,website,phone,address,chatbot_detected
Dentalsplace Berlin - Praxisklinik für Zahnmedizin,4.9,115,https://www.dentalsplace.de/,030 88771515,"Kurfürstendamm 22, 10719 Berlin, Germany",No
MEDECO Dental Clinic Berlin-Tempelhof,4.9,160,https://www.mvzmedeco.berlin/standort-tempelhof,030 70794900,"Mariendorfer Damm 19-21, 12109 Berlin, Germany",No
iDentis - Dentists Berlin-Steglitz,4.9,174,https://www.identis.net/?utm_source=maps,030 79787570,"Schloßstraße 110, 12163 Berlin, Germany",No
ZAHN33 - dental practice in Berlin-Friedrichshain,4.6,277,https://www.zahn33.de/,030 97002256,"Boxhagener Str. 119, 10245 Berlin, Germany",Yes
Berlin-Klinik Medizinmanagement Implantate & Vollnarkose Zahnbehandlung,4.7,211,https://www.berlin-klinik.de/?utm_source=GooglePlaces,0176 10101010,"Potsdamer Str. 89, 10785 Berlin, Germany",No
KU64 Zahnarzt Berlin Mitte - Dr. Ziegler & Partner,4.6,155,https://ku64.de/berlinmitte,030 509304280,"Hausvogteipl. 14, 10117 Berlin, Germany",Yes
Zahnzentrum Mitte - Dein Zahnarzt in Berlin Mitte,4.5,235,https://zahnzentrum-mitte.de/,030 3913750,"Alt-Moabit 82, 10555 Berlin, Germany",Yes
Lieblings-Zahnarzt Berlin-Schöneberg,5,182,https://www.lieblings-zahnarzt.de/berlin-schoeneberg/,030 75002390,"Hauptstraße 23-24, 10827 Berlin, Germany",Yes
Kaufland Berlin-Mitte,4.2,5627,https://www.filiale.kaufland.de/?cid=F3183B02C1200K01000W01030000D1000E1000F1000G1000H1000,030 240888290,"Parkplatz über Rochstraße zu erreichen, Karl-Liebknecht-Str. 13, 10178 Berlin, Germany",Yes
MEINDENTIST-Praxis Charlottenburg,4.6,218,https://meindentist.de/berlin/charlottenburg/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_md_charlottenburg,030 397733333,"Wilmersdorfer Str. 42, 10627 Berlin, Germany",Yes
KINDERDENTIST-Praxis Prenzlauer Berg,3.6,517,https://kinderdentist.de/unsere-standorte/prenzlauer-berg/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_kd_prenzlauer_berg,030 40505750,"Kollwitzstraße 64, 10435 Berlin, Germany",No
Zahnarzt Berlin-Mitte Dr. Sam Blum und Catia Santos,4.8,174,https://www.zahnarzt-berlin-mitte-zahnundart.de/?utm_source=maps,030 88762090,"Chausseestraße 22, 10115 Berlin, Germany",Yes
Zahnzentrum Neukölln Zahnarzt Althoff & Kollegen Berlin,4.8,118,http://www.zahnzentrumneukoelln.de/,030 62982681,"Karl-Marx-Straße 80, 12043 Berlin, Germany",No
KINDERDENTIST-Praxis Kreuzberg,4.4,160,https://kinderdentist.de/unsere-standorte/kreuzberg-2/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_kd_kreuzberg,030 403613033,"Oranienstraße 158, 10969 Berlin, Germany",No
F. Yashar,4.4,135,http://www.zahnarztpraxis-in-friedrichshain.de/,030 4225895,"Frankfurter Allee 9, 10247 Berlin, Germany",Yes
Zahnarzt Berlin Schöneberg | Dr. Brouwer & Kollegen,4.9,132,http://www.zahnarzt-berlin-schoeneberg.com/,030 2651189,"Potsdamer Str. 116, 10785 Berlin, Germany",Yes
P4 THE DENTISTS AND DENTAL CHILDREN,4.8,148,http://www.p4-zahnärzte.de/,030 92403490,"neben dem Linden-Center, Prerower Platz 4, 13051 Berlin, Germany",Yes
"Dr., PhD., MSc. MSc. Kai Uwe Bochdam",4.8,246,http://www.alex1-berlin.de/,030 688391288,"Alexanderpl. 1, 10178 Berlin, Germany",No
Impress (ehemals DR SMILE) Berlin Ku'damm,4,1056,https://smile2impress.com/de?utm_medium=gmb&utm_source=berlin-kudamm&utm_campaign=gmb-berlin-kudamm-web,030 22957384,"Rankestraße 8, 10789 Berlin, Germany",No
